,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
170,Hyundai,2013.0,Veloster,Hatchback,USED,Automatic,Front,Unleaded,6.4,155244.0,4,Hatchback,3,4,17990.0,1.6,11,NSW
171,Toyota,2017.0,Camry,Sedan,USED,Automatic,Front,Unleaded,7.9,149988.0,4,Sedan,4,5,19950.0,2.5,7,NSW
172,Mitsubishi,2011.0,Lancer,Hatchback,USED,Automatic,Front,Unleaded,7.3,205373.0,4,Hatchback,5,5,9990.0,2.0,13,NSW
173,BMW,2020.0,M4,Coupe,USED,Automatic,Rear,Premium,8.8,2858.0,6,Coupe,2,4,129988.0,3.0,4,NSW
174,Suzuki,2011.0,Swift,Hatchback,USED,Automatic,Front,Unleaded,6.2,201011.0,4,Hatchback,5,5,7999.0,1.4,13,NSW
175,Ford,2008.0,Transit,Commercial,USED,Manual,Rear,Diesel,9.5,305593.0,4,Commercial,2,3,9995.0,2.4,16,NSW
177,Peugeot,2017.0,308,Hatchback,USED,Automatic,Front,Premium,5.1,57217.0,3,Hatchback,5,5,16990.0,1.2,7,NSW
178,Holden,2017.0,Trax,SUV,USED,Automatic,Front,Unleaded,6.9,83147.0,4,SUV,4,5,17888.0,1.4,7,NSW
179,Mitsubishi,2015.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,9.3,204000.0,4,Ute / Tray,4,5,18995.0,2.5,9,NSW
180,Subaru,2013.0,Forester,SUV,USED,Manual,AWD,Unleaded,7.2,122077.0,4,SUV,4,5,16857.0,2.0,11,NSW
181,Mazda,2015.0,CX-3,SUV,USED,Automatic,Front,Unleaded,6.1,60581.0,4,SUV,4,5,22990.0,2.0,9,NSW
182,Nissan,2010.0,Navara,Ute / Tray,USED,Manual,4WD,Diesel,9.8,259488.0,4,Ute / Tray,2,2,13950.0,2.5,14,NSW
183,Holden,2017.0,Captiva,SUV,USED,Automatic,Front,Unleaded,9.0,186954.0,4,SUV,4,7,12990.0,2.4,7,NSW
184,Kia,2017.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.1,21350.0,4,Hatchback,5,5,22990.0,2.0,7,NSW
185,Audi,2016.0,RS3,Hatchback,USED,Automatic,AWD,Premium,8.1,47926.0,5,Hatchback,5,5,59990.0,2.5,8,NSW
186,Mitsubishi,2014.0,Triton,Ute / Tray,USED,Manual,Rear,Diesel,8.0,88861.0,4,Ute / Tray,2,2,21880.0,2.5,10,NSW
187,Jeep,2007.0,Grand,SUV,USED,Automatic,4WD,Diesel,16.0,199000.0,6,SUV,4,5,10990.0,3.0,17,NSW
188,Mercedes-Benz,2018.0,C200,Sedan,USED,Automatic,Rear,Hybrid,6.5,72540.0,4,Sedan,4,4,39990.0,2.0,6,NSW
189,Toyota,2020.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.2,87043.0,4,Hatchback,5,5,39990.0,1.8,4,NSW
190,Ford,2012.0,Ranger,Ute / Tray,USED,Manual,4WD,Diesel,9.4,254121.0,5,Ute / Tray,4,5,21990.0,3.2,12,NSW
191,Honda,2008.0,Civic,Hatchback,USED,Manual,Front,Premium,9.3,165450.0,4,Hatchback,3,4,18990.0,2.0,16,NSW
192,Honda,2022.0,CR-V,SUV,USED,Automatic,Front,Unleaded,7.3,15087.0,4,SUV,4,5,39990.0,1.5,2,NSW
193,Nissan,2013.0,Navara,Ute / Tray,USED,Automatic,4WD,Diesel,10.5,159056.0,4,Ute / Tray,4,5,21990.0,2.5,11,NSW
194,Hyundai,2017.0,Tucson,SUV,USED,Automatic,AWD,Diesel,6.8,97295.0,4,SUV,4,5,31990.0,2.0,7,NSW
195,Mazda,2015.0,CX-5,SUV,USED,Automatic,AWD,Unleaded,7.4,83095.0,4,SUV,4,5,26990.0,2.5,9,NSW
197,Isuzu,2017.0,D-MAX,Ute / Tray,USED,Automatic,4WD,Diesel,7.7,192988.0,4,Ute / Tray,4,5,28999.0,3.0,7,NSW
198,Mercedes-Benz,2014.0,A200,Hatchback,USED,Automatic,Front,Diesel,4.6,105663.0,4,Hatchback,5,5,22500.0,1.8,10,NSW
199,Toyota,2007.0,HiAce,Commercial,USED,Manual,Rear,Unleaded,11.6,222603.0,4,Commercial,4,3,17990.0,2.7,17,NSW
200,Ford,2020.0,Puma,SUV,USED,Automatic,Front,Premium,5.3,22300.0,3,SUV,5,5,27800.0,1.0,4,NSW
201,Mazda,2022.0,2,Hatchback,USED,Automatic,Front,Unleaded,5.2,11824.0,4,Hatchback,5,5,29990.0,1.5,2,NSW
202,Toyota,2007.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,7.7,250318.0,4,Hatchback,5,5,10990.0,1.8,17,NSW
203,Jeep,2016.0,Grand,SUV,USED,Automatic,4WD,Premium,10.4,39967.0,6,SUV,4,5,34800.0,3.6,8,NSW
204,Hyundai,2020.0,Tucson,SUV,USED,Automatic,Front,Unleaded,7.9,38341.0,4,SUV,4,5,28984.0,2.0,4,NSW
205,Toyota,2020.0,Camry,Sedan,USED,Automatic,Front,Unleaded,8.3,7528.0,4,Sedan,4,5,32990.0,2.5,4,NSW
206,Honda,2018.0,City,Sedan,USED,Automatic,Front,Unleaded,5.8,94385.0,4,Sedan,4,5,19999.0,1.5,6,NSW
207,Toyota,2018.0,C-HR,SUV,USED,Automatic,AWD,Premium,5.6,110047.0,4,SUV,4,5,29990.0,1.2,6,NSW
208,Kia,2012.0,Sorento,SUV,USED,Automatic,AWD,Diesel,7.4,164189.0,4,SUV,4,7,16990.0,2.2,12,NSW
